,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
183,105825,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105825,Hydrolagus affinis,"(de Brito Capello, 1868)",accepted,NA,220,Species,105825,Hydrolagus affinis,"(de Brito Capello, 1868)",105734,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Hydrolagus affinis (de Brito Capello, 1868). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105825 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105825,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
184,105826,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105826,Hydrolagus mirabilis,"(Collett, 1904)",accepted,NA,220,Species,105826,Hydrolagus mirabilis,"(Collett, 1904)",105734,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Hydrolagus mirabilis (Collett, 1904). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105826 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105826,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
185,105827,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105827,Hydrolagus pallidus,"Hardy & Stehmann, 1990",accepted,NA,220,Species,105827,Hydrolagus pallidus,"Hardy & Stehmann, 1990",105734,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Hydrolagus pallidus Hardy & Stehmann, 1990. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105827 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105827,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
186,105829,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105829,Harriotta raleighana,"Goode & Bean, 1895",accepted,NA,220,Species,105829,Harriotta raleighana,"Goode & Bean, 1895",105735,Animalia,Chordata,Holocephali,Chimaeriformes,Rhinochimaeridae,Harriotta,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Harriotta raleighana Goode & Bean, 1895. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105829 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105829,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
187,105830,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105830,Rhinochimaera atlantica,"Holt & Byrne, 1909",accepted,NA,220,Species,105830,Rhinochimaera atlantica,"Holt & Byrne, 1909",105736,Animalia,Chordata,Holocephali,Chimaeriformes,Rhinochimaeridae,Rhinochimaera,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Rhinochimaera atlantica Holt & Byrne, 1909. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105830 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105830,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
188,105832,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105832,Heptranchias perlo,"(Bonnaterre, 1788)",accepted,NA,220,Species,105832,Heptranchias perlo,"(Bonnaterre, 1788)",105738,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Heptranchias perlo (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105832 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105832,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
189,105833,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105833,Hexanchus griseus,"(Bonnaterre, 1788)",accepted,NA,220,Species,105833,Hexanchus griseus,"(Bonnaterre, 1788)",105739,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Hexanchus griseus (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105833 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105833,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
190,105836,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105836,Alopias vulpinus,"(Bonnaterre, 1788)",accepted,NA,220,Species,105836,Alopias vulpinus,"(Bonnaterre, 1788)",105740,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Alopias vulpinus (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105836 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105836,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
191,105837,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105837,Cetorhinus maximus,"(Gunnerus, 1765)",accepted,NA,220,Species,105837,Cetorhinus maximus,"(Gunnerus, 1765)",105741,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Cetorhinus maximus (Gunnerus, 1765). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105837 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105837,1,0,0,0,NA,exact,2017-08-08T06:37:06.527Z
192,105841,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105841,Lamna nasus,"(Bonnaterre, 1788)",accepted,NA,220,Species,105841,Lamna nasus,"(Bonnaterre, 1788)",105744,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Lamna nasus (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105841 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105841,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
